Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Cameroon,Snacks,Online,M,2022-05-05,889810454,2022-05-09,3542,152.58,97.44,540438.36,345132.48,195305.88
North America,Canada,Office Supplies,Online,M,2017-12-25,312197816,2017-12-30,5126,651.21,524.96,3338102.46,2690944.96,647157.5
Sub-Saharan Africa,Uganda,Personal Care,Offline,L,2017-12-12,682004916,2017-12-21,9265,81.73,56.67,757228.45,525047.55,232180.9
Europe,Estonia,Office Supplies,Online,H,2021-04-20,885218083,2021-05-15,4557,651.21,524.96,2967563.97,2392242.72,575321.25
Sub-Saharan Africa,Gabon,Cosmetics,Offline,L,2023-04-07,778136146,2023-04-10,6632,437.2,263.33,2899510.4,1746404.56,1153105.84
Australia and Oceania,Palau,Clothes,Offline,M,2020-07-26,737370431,2020-07-31,3151,109.28,35.84,344341.28,112931.84,231409.44
Middle East and North Africa,Egypt,Office Supplies,Online,C,2016-10-13,309844768,2016-11-14,8807,651.21,524.96,5735206.47,4623322.72,1111883.75
Europe,Portugal,Clothes,Online,C,2016-12-29,462795484,2017-02-15,323,109.28,35.84,35297.44,11576.32,23721.12
Europe,Czech Republic,Clothes,Online,C,2022-06-09,433771407,2022-06-11,1454,109.28,35.84,158893.12,52111.36,106781.76
Asia,Turkmenistan,Cereal,Online,M,2014-06-19,880633866,2014-07-03,7986,205.7,117.11,1642720.2,935240.46,707479.74
Central America and the Caribbean,Saint Lucia,Personal Care,Online,M,2024-01-22,731556689,2024-02-26,2736,81.73,56.67,223613.28,155049.12,68564.16
Europe,United Kingdom,Personal Care,Offline,H,2019-07-16,335026204,2019-08-18,554,81.73,56.67,45278.42,31395.18,13883.24
Sub-Saharan Africa,Malawi,Snacks,Online,L,2018-11-08,109841239,2018-11-19,3318,152.58,97.44,506260.44,323305.92,182954.52
Europe,Monaco,Personal Care,Offline,L,2020-01-23,995113122,2020-03-04,4941,81.73,56.67,403827.93,280006.47,123821.46
Sub-Saharan Africa,Djibouti,Vegetables,Offline,C,2017-05-21,400265681,2017-06-17,6365,154.06,90.93,980591.9,578769.45,401822.45
Sub-Saharan Africa,Zimbabwe,Fruits,Online,H,2017-03-29,755035245,2017-05-08,562,9.33,6.92,5243.46,3889.04,1354.42
Central America and the Caribbean,Grenada,Household,Offline,M,2022-03-16,959470641,2022-04-22,7539,668.27,502.54,5038087.53,3788649.06,1249438.47
Europe,Andorra,Meat,Online,L,2014-12-19,433933198,2015-01-30,9331,421.89,364.69,3936655.59,3402922.39,533733.2
Sub-Saharan Africa,Nigeria,Beverages,Offline,L,2017-02-23,469096744,2017-03-08,5006,47.45,31.79,237534.7,159140.74,78393.96
Asia,Kyrgyzstan,Beverages,Offline,L,2019-10-17,175947606,2019-11-11,5661,47.45,31.79,268614.45,179963.19,88651.26
Asia,Tajikistan,Vegetables,Online,M,2020-10-19,535784614,2020-11-26,9428,154.06,90.93,1452477.68,857288.04,595189.64
Asia,Malaysia,Beverages,Offline,H,2019-07-26,350219094,2019-08-21,6467,47.45,31.79,306859.15,205585.93,101273.22
Europe,Hungary,Personal Care,Online,L,2022-05-05,291174876,2022-05-09,3971,81.73,56.67,324549.83,225036.57,99513.26
Europe,Germany,Clothes,Online,L,2015-07-01,650888288,2015-08-18,1163,109.28,35.84,127092.64,41681.92,85410.72
Sub-Saharan Africa,Guinea,Cosmetics,Offline,L,2024-04-29,891908156,2024-05-19,4299,437.2,263.33,1879522.8,1132055.67,747467.13
Middle East and North Africa,Pakistan,Fruits,Online,M,2022-03-01,997095811,2022-03-02,1663,9.33,6.92,15515.79,11507.96,4007.83
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Online,C,2021-04-10,119625079,2021-04-16,8574,651.21,524.96,5583474.54,4501007.04,1082467.5
Middle East and North Africa,Morocco,Baby Food,Online,M,2014-01-16,632982289,2014-01-30,2381,255.28,159.42,607821.68,379579.02,228242.66
Australia and Oceania,Nauru,Vegetables,Online,M,2021-02-01,480966269,2021-03-17,7462,154.06,90.93,1149595.72,678519.66,471076.06
Asia,Uzbekistan,Personal Care,Offline,H,2021-10-03,827688348,2021-10-28,230,81.73,56.67,18797.9,13034.1,5763.8
Europe,Finland,Clothes,Offline,L,2023-08-20,207572352,2023-09-17,4127,109.28,35.84,450998.56,147911.68,303086.88
Asia,Indonesia,Beverages,Online,C,2014-06-06,375354611,2014-07-10,4626,47.45,31.79,219503.7,147060.54,72443.16
Asia,Maldives,Cosmetics,Offline,H,2020-10-10,456083953,2020-10-25,4232,437.2,263.33,1850230.4,1114412.56,735817.84
Middle East and North Africa,Morocco,Cereal,Offline,C,2017-05-04,995121705,2017-05-09,7481,205.7,117.11,1538841.7,876099.91,662741.79
Central America and the Caribbean,Dominican Republic,Clothes,Offline,L,2017-09-22,808141696,2017-10-18,5941,109.28,35.84,649232.48,212925.44,436307.04
Middle East and North Africa,Qatar,Clothes,Online,H,2015-08-27,131130254,2015-09-10,3211,109.28,35.84,350898.08,115082.24,235815.84
North America,United States of America,Clothes,Offline,M,2022-05-21,170386207,2022-07-03,9920,109.28,35.84,1084057.6,355532.8,728524.8
Sub-Saharan Africa,South Africa,Cosmetics,Online,C,2018-08-10,852520883,2018-09-29,8729,437.2,263.33,3816318.8,2298607.57,1517711.23
Sub-Saharan Africa,Swaziland,Household,Offline,C,2023-12-08,374458110,2023-12-17,9331,668.27,502.54,6235627.37,4689200.74,1546426.63
Middle East and North Africa,Kuwait,Personal Care,Offline,C,2016-09-18,153434216,2016-09-30,3449,81.73,56.67,281886.77,195454.83,86431.94
Sub-Saharan Africa,Guinea-Bissau,Fruits,Online,H,2014-03-24,776998031,2014-04-27,9839,9.33,6.92,91797.87,68085.88,23711.99
Europe,Sweden,Beverages,Offline,H,2024-07-22,653010880,2024-08-06,9286,47.45,31.79,440620.7,295201.94,145418.76
Central America and the Caribbean,Saint Lucia,Clothes,Online,L,2019-11-14,959646594,2019-12-20,9608,109.28,35.84,1049962.24,344350.72,705611.52
Europe,France,Clothes,Online,L,2016-08-10,695391499,2016-09-15,653,109.28,35.84,71359.84,23403.52,47956.32
Middle East and North Africa,Bahrain,Cereal,Online,H,2016-09-05,729044425,2016-10-22,9301,205.7,117.11,1913215.7,1089240.11,823975.59
Europe,Vatican City,Personal Care,Online,C,2023-06-29,649716699,2023-07-10,4464,81.73,56.67,364842.72,252974.88,111867.84
Middle East and North Africa,Yemen,Cosmetics,Offline,C,2015-03-22,116832149,2015-04-03,2084,437.2,263.33,911124.8,548779.72,362345.08
Asia,Nepal,Office Supplies,Offline,H,2014-05-01,210127103,2014-06-14,134,651.21,524.96,87262.14,70344.64,16917.5
Asia,Tajikistan,Vegetables,Online,L,2018-01-18,279650390,2018-02-26,3620,154.06,90.93,557697.2,329166.6,228530.6
Europe,Finland,Vegetables,Offline,C,2014-05-29,195763337,2014-07-13,9577,154.06,90.93,1475432.62,870836.61,604596.01
Middle East and North Africa,Algeria,Cereal,Online,M,2019-09-07,799139773,2019-10-24,2072,205.7,117.11,426210.4,242651.92,183558.48
Sub-Saharan Africa,Niger,Beverages,Offline,L,2019-07-30,750766026,2019-09-11,7206,47.45,31.79,341924.7,229078.74,112845.96
Asia,Kazakhstan,Fruits,Offline,L,2017-05-01,581940925,2017-05-19,8106,9.33,6.92,75628.98,56093.52,19535.46
Europe,Germany,Meat,Online,H,2017-09-09,444275796,2017-10-03,9936,421.89,364.69,4191899.04,3623559.84,568339.2
Sub-Saharan Africa,Democratic Republic of the Congo,Clothes,Offline,L,2021-07-23,559694468,2021-09-09,4886,109.28,35.84,533942.08,175114.24,358827.84
Australia and Oceania,Samoa,Fruits,Offline,C,2020-08-25,770433270,2020-10-05,7180,9.33,6.92,66989.4,49685.6,17303.8
Europe,Georgia,Cereal,Offline,H,2024-03-21,989041030,2024-05-03,8074,205.7,117.11,1660821.8,945546.14,715275.66
Australia and Oceania,Solomon Islands,Cosmetics,Online,C,2021-08-23,748379075,2021-08-29,854,437.2,263.33,373368.8,224883.82,148484.98
Europe,Hungary,Meat,Online,H,2019-11-04,551621234,2019-11-27,5836,421.89,364.69,2462150.04,2128330.84,333819.2
Australia and Oceania,East Timor,Snacks,Offline,H,2016-07-17,522253835,2016-09-02,5370,152.58,97.44,819354.6,523252.8,296101.8
Europe,Netherlands,Baby Food,Offline,M,2016-04-28,854075706,2016-05-18,8836,255.28,159.42,2255654.08,1408635.12,847018.96
Central America and the Caribbean,Haiti,Household,Online,C,2014-07-29,461198174,2014-09-17,7644,668.27,502.54,5108255.88,3841415.76,1266840.12
Europe,Sweden,Office Supplies,Online,M,2024-03-24,128045070,2024-04-22,236,651.21,524.96,153685.56,123890.56,29795.0
Asia,Nepal,Clothes,Offline,H,2016-12-13,259352719,2016-12-30,7088,109.28,35.84,774576.64,254033.92,520542.72
Sub-Saharan Africa,Cote d'Ivoire,Fruits,Online,C,2014-01-10,430169951,2014-01-18,5703,9.33,6.92,53208.99,39464.76,13744.23
Sub-Saharan Africa,Benin,Cosmetics,Offline,L,2016-11-11,735858094,2016-11-22,5617,437.2,263.33,2455752.4,1479124.61,976627.79
North America,Greenland,Snacks,Online,M,2023-01-08,442090976,2023-02-02,3399,152.58,97.44,518619.42,331198.56,187420.86
Sub-Saharan Africa,South Sudan,Vegetables,Online,M,2020-11-13,234854924,2020-11-23,7646,154.06,90.93,1177942.76,695250.78,482691.98
Central America and the Caribbean,Haiti,Cereal,Online,H,2016-04-29,870448768,2016-05-13,3989,205.7,117.11,820537.3,467151.79,353385.51
North America,Mexico,Snacks,Online,L,2016-10-24,925483834,2016-10-24,88,152.58,97.44,13427.04,8574.72,4852.32
Sub-Saharan Africa,South Africa,Snacks,Online,L,2015-03-19,846883952,2015-04-07,636,152.58,97.44,97040.88,61971.84,35069.04
Sub-Saharan Africa,Cape Verde,Clothes,Online,M,2016-08-08,701885449,2016-09-11,2357,109.28,35.84,257572.96,84474.88,173098.08
Europe,Slovenia,Personal Care,Offline,H,2022-03-23,628037154,2022-05-09,9005,81.73,56.67,735978.65,510313.35,225665.3
Central America and the Caribbean,Saint Lucia,Baby Food,Online,M,2024-02-14,383200395,2024-03-09,6367,255.28,159.42,1625367.76,1015027.14,610340.62
Sub-Saharan Africa,Zambia,Clothes,Online,C,2021-03-12,695548999,2021-03-30,7260,109.28,35.84,793372.8,260198.4,533174.4
Australia and Oceania,Marshall Islands,Fruits,Offline,L,2024-07-15,113569295,2024-08-30,6533,9.33,6.92,60952.89,45208.36,15744.53
Sub-Saharan Africa,Liberia,Cosmetics,Online,L,2020-01-08,856060111,2020-01-22,6065,437.2,263.33,2651618.0,1597096.45,1054521.55
Europe,Kosovo,Snacks,Online,M,2016-05-23,262132775,2016-07-02,9768,152.58,97.44,1490401.44,951793.92,538607.52
Asia,Laos,Household,Offline,L,2018-07-28,241211116,2018-08-27,8584,668.27,502.54,5736429.68,4313803.36,1422626.32
Asia,Indonesia,Beverages,Online,L,2022-04-13,523031461,2022-04-17,5487,47.45,31.79,260358.15,174431.73,85926.42
Sub-Saharan Africa,Uganda,Beverages,Offline,C,2019-05-28,907642638,2019-06-19,481,47.45,31.79,22823.45,15290.99,7532.46
Middle East and North Africa,Iran,Meat,Online,H,2014-01-05,815405976,2014-01-10,5603,421.89,364.69,2363849.67,2043358.07,320491.6
Sub-Saharan Africa,Equatorial Guinea,Baby Food,Offline,H,2017-01-14,636995303,2017-01-26,9921,255.28,159.42,2532632.88,1581605.82,951027.06
Europe,Hungary,Cosmetics,Offline,H,2019-07-13,383396947,2019-07-30,4531,437.2,263.33,1980953.2,1193148.23,787804.97
Middle East and North Africa,Somalia,Baby Food,Online,C,2019-05-18,135909736,2019-06-18,7566,255.28,159.42,1931448.48,1206171.72,725276.76
Europe,Luxembourg,Vegetables,Offline,L,2015-12-25,496144998,2016-01-23,9185,154.06,90.93,1415041.1,835192.05,579849.05
Europe,Estonia,Snacks,Online,M,2015-08-05,336026561,2015-08-28,6581,152.58,97.44,1004128.98,641252.64,362876.34
Europe,Germany,Cereal,Online,M,2015-04-10,847790753,2015-05-22,8979,205.7,117.11,1846980.3,1051530.69,795449.61
Middle East and North Africa,Libya,Snacks,Offline,L,2018-12-07,593986403,2019-01-23,2631,152.58,97.44,401437.98,256364.64,145073.34
Europe,Sweden,Office Supplies,Offline,L,2021-04-17,457474839,2021-05-05,5826,651.21,524.96,3793949.46,3058416.96,735532.5
Middle East and North Africa,Yemen,Office Supplies,Online,M,2023-12-04,491429889,2023-12-25,3880,651.21,524.96,2526694.8,2036844.8,489850.0
Europe,Liechtenstein,Beverages,Offline,H,2019-03-18,369337880,2019-04-22,4141,47.45,31.79,196490.45,131642.39,64848.06
Middle East and North Africa,Libya,Meat,Online,H,2017-01-26,734997642,2017-02-23,990,421.89,364.69,417671.1,361043.1,56628.0
Sub-Saharan Africa,Senegal,Cereal,Online,H,2018-04-03,952520501,2018-05-04,838,205.7,117.11,172376.6,98138.18,74238.42
Australia and Oceania,Kiribati,Beverages,Online,H,2019-08-23,456330287,2019-09-05,7127,47.45,31.79,338176.15,226567.33,111608.82
Sub-Saharan Africa,Zimbabwe,Beverages,Online,C,2019-08-21,101163327,2019-08-27,5331,47.45,31.79,252955.95,169472.49,83483.46
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,L,2023-06-27,812068450,2023-07-30,7955,437.2,263.33,3477926.0,2094790.15,1383135.85
Sub-Saharan Africa,South Sudan,Office Supplies,Offline,L,2016-07-20,434406983,2016-08-14,9535,651.21,524.96,6209287.35,5005493.6,1203793.75
Sub-Saharan Africa,Gabon,Personal Care,Online,C,2023-02-18,483852756,2023-02-24,1637,81.73,56.67,133792.01,92768.79,41023.22
Europe,Belgium,Fruits,Offline,C,2015-07-23,296392095,2015-08-05,7862,9.33,6.92,73352.46,54405.04,18947.42
Australia and Oceania,Kiribati,Fruits,Online,C,2015-10-13,178323829,2015-10-31,8839,9.33,6.92,82467.87,61165.88,21301.99
Australia and Oceania,Samoa,Snacks,Online,C,2015-03-10,956259286,2015-03-18,7228,152.58,97.44,1102848.24,704296.32,398551.92
Asia,Tajikistan,Clothes,Offline,M,2022-09-12,827122294,2022-09-22,2722,109.28,35.84,297460.16,97556.48,199903.68
Australia and Oceania,New Zealand,Fruits,Offline,H,2016-08-28,308149182,2016-09-10,7046,9.33,6.92,65739.18,48758.32,16980.86
Europe,San Marino,Clothes,Online,C,2014-05-07,886888778,2014-06-18,8953,109.28,35.84,978383.84,320875.52,657508.32
Central America and the Caribbean,Antigua and Barbuda,Office Supplies,Online,L,2023-11-08,971202409,2023-12-17,9230,651.21,524.96,6010668.3,4845380.8,1165287.5
Europe,Netherlands,Meat,Online,C,2017-05-04,839263904,2017-06-05,5694,421.89,364.69,2402241.66,2076544.86,325696.8
Europe,Bosnia and Herzegovina,Baby Food,Offline,L,2021-12-10,389559590,2021-12-23,8195,255.28,159.42,2092019.6,1306446.9,785572.7
Sub-Saharan Africa,Burundi,Baby Food,Online,C,2018-03-07,490888297,2018-03-20,3611,255.28,159.42,921816.08,575665.62,346150.46
Asia,Cambodia,Vegetables,Offline,M,2020-02-26,732361352,2020-03-21,854,154.06,90.93,131567.24,77654.22,53913.02
Asia,Turkmenistan,Cereal,Offline,H,2016-09-28,773402583,2016-10-27,5866,205.7,117.11,1206636.2,686967.26,519668.94
Sub-Saharan Africa,Equatorial Guinea,Clothes,Offline,M,2019-09-16,793748319,2019-10-09,6621,109.28,35.84,723542.88,237296.64,486246.24
Australia and Oceania,Nauru,Fruits,Online,C,2015-07-31,143447387,2015-09-07,8124,9.33,6.92,75796.92,56218.08,19578.84
Sub-Saharan Africa,Guinea-Bissau,Baby Food,Offline,C,2024-06-24,492861115,2024-07-16,7411,255.28,159.42,1891880.08,1181461.62,710418.46
Central America and the Caribbean,Dominica,Household,Online,L,2019-11-29,882663333,2019-12-08,8550,668.27,502.54,5713708.5,4296717.0,1416991.5
Sub-Saharan Africa,Botswana,Clothes,Online,L,2019-08-25,873840367,2019-10-13,7638,109.28,35.84,834680.64,273745.92,560934.72
Sub-Saharan Africa,Central African Republic,Personal Care,Offline,C,2016-03-29,997691047,2016-04-24,7806,81.73,56.67,637984.38,442366.02,195618.36
Middle East and North Africa,Qatar,Office Supplies,Online,M,2014-06-09,505826699,2014-07-20,4216,651.21,524.96,2745501.36,2213231.36,532270.0
Middle East and North Africa,Oman,Household,Online,C,2015-02-21,520171153,2015-03-24,9058,668.27,502.54,6053189.66,4552007.32,1501182.34
Europe,Sweden,Cosmetics,Offline,M,2020-10-04,882960736,2020-11-22,6558,437.2,263.33,2867157.6,1726918.14,1140239.46
Europe,Cyprus,Vegetables,Offline,C,2019-02-28,606744277,2019-04-02,7970,154.06,90.93,1227858.2,724712.1,503146.1
Sub-Saharan Africa,Liberia,Beverages,Online,L,2021-02-08,124383103,2021-03-17,6579,47.45,31.79,312173.55,209146.41,103027.14
Europe,Monaco,Baby Food,Offline,H,2022-10-29,839051043,2022-10-30,2704,255.28,159.42,690277.12,431071.68,259205.44
Central America and the Caribbean,Saint Lucia,Vegetables,Online,M,2022-01-16,174234426,2022-02-16,8693,154.06,90.93,1339243.58,790454.49,548789.09
Middle East and North Africa,Qatar,Clothes,Offline,C,2023-05-04,123732078,2023-05-22,3926,109.28,35.84,429033.28,140707.84,288325.44
Sub-Saharan Africa,Sierra Leone,Clothes,Offline,C,2022-02-06,501655328,2022-02-25,9814,109.28,35.84,1072473.92,351733.76,720740.16
Central America and the Caribbean,Panama,Cosmetics,Offline,L,2020-07-27,292428004,2020-08-25,4800,437.2,263.33,2098560.0,1263984.0,834576.0
Europe,Sweden,Vegetables,Offline,C,2022-06-29,800786435,2022-07-02,9356,154.06,90.93,1441385.36,850741.08,590644.28
Sub-Saharan Africa,Namibia,Beverages,Online,C,2017-01-26,701779448,2017-03-06,989,47.45,31.79,46928.05,31440.31,15487.74
Sub-Saharan Africa,Seychelles,Cereal,Offline,H,2016-05-29,990768373,2016-07-14,9233,205.7,117.11,1899228.1,1081276.63,817951.47
Middle East and North Africa,Saudi Arabia,Fruits,Offline,H,2018-01-24,933427035,2018-02-13,657,9.33,6.92,6129.81,4546.44,1583.37
Europe,Serbia,Meat,Offline,L,2021-02-08,315741765,2021-03-03,3860,421.89,364.69,1628495.4,1407703.4,220792.0
Europe,Vatican City,Cosmetics,Offline,H,2020-10-01,794011390,2020-10-04,4470,437.2,263.33,1954284.0,1177085.1,777198.9
Middle East and North Africa,Iran,Cereal,Offline,H,2024-06-04,944847238,2024-06-28,149,205.7,117.11,30649.3,17449.39,13199.91
Central America and the Caribbean,Panama,Office Supplies,Online,C,2014-04-24,315173137,2014-05-28,5590,651.21,524.96,3640263.9,2934526.4,705737.5
Australia and Oceania,Tuvalu,Baby Food,Offline,H,2016-11-18,772225415,2017-01-06,7516,255.28,159.42,1918684.48,1198200.72,720483.76
Sub-Saharan Africa,Djibouti,Household,Offline,M,2022-09-05,653552901,2022-09-24,9682,668.27,502.54,6470190.14,4865592.28,1604597.86
Middle East and North Africa,Pakistan,Cereal,Online,M,2023-10-02,617016923,2023-10-13,7874,205.7,117.11,1619681.8,922124.14,697557.66
Middle East and North Africa,Somalia,Cereal,Online,L,2018-12-30,490791308,2019-01-28,4909,205.7,117.11,1009781.3,574892.99,434888.31
